ID,Животное,Тип,Место наблюдения,Сезон,Количество особей,Температура воздуха (°C),Тип питания,Антропогенный фактор,Интересный факт
269,Чайка,птица,Малое Море,зима,1.0,-12.8720248634,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
270,Чайка,птица,Чивыркуйский залив,весна,1.0,-2.3981410851,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
271,Чайка,птица,Малое Море,зима,1.0,-12.4248148856,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
272,Чайка,птица,Селенгинский район,лето,20.0,12.5947462897,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
273,Голомянка,рыба,Чивыркуйский залив,осень,300.0,-6.3219878149,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
274,Эпишура,планктон,Чивыркуйский залив,осень,2542.0,5.3360860205,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
275,Омуль,рыба,Малое Море,зима,91.0,-21.8093005757,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
276,Омуль,рыба,Чивыркуйский залив,осень,374.0,-8.1253743892,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
277,Чайка,птица,Баргузинский залив,осень,1.0,-5.8421271295,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
278,Эпишура,планктон,Чивыркуйский залив,осень,2930.0,5.3678630898,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
279,Омуль,рыба,Ольхон,осень,62.0,11.6816427727,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
280,Голомянка,рыба,Чивыркуйский залив,зима,346.0,-14.8814852331,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
281,Чайка,птица,Селенгинский район,лето,22.0,18.2781424434,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
282,Эпишура,планктон,Малое Море,осень,3342.0,1.3068176908,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
283,Эпишура,планктон,Ольхон,осень,9217.0,-12.9323033596,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
284,Большой баклан,птица,Чивыркуйский залив,лето,1745.0,11.0046621151,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
285,Голомянка,рыба,Чивыркуйский залив,осень,248.0,1.631759351,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
286,Голомянка,рыба,Ольхон,весна,273.0,-3.4439806272,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
287,Чайка,птица,Малое Море,лето,22.0,12.2056807364,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
288,Чайка,птица,Баргузинский залив,осень,5.0,-1.0122921809,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
289,Чайка,птица,Малое Море,лето,28.0,16.664967409,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
290,Эпишура,планктон,Малое Море,весна,9947.0,-2.3001610453,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
291,Омуль,рыба,Чивыркуйский залив,зима,67.0,-12.9618661426,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
292,Эпишура,планктон,Малое Море,зима,1457.0,-13.9221513014,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
293,Чайка,птица,Баргузинский залив,зима,1.0,-13.9762767676,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
294,Чайка,птица,Малое Море,зима,1.0,-10.2221546548,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
295,Омуль,рыба,Малое Море,лето,60.0,12.9522997737,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
296,Омуль,рыба,Баргузинский залив,зима,31.0,-15.3291162049,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
297,Чайка,птица,Баргузинский залив,весна,12.0,7.1095668032,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
298,Чайка,птица,Селенгинский район,лето,22.0,15.7952443391,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
299,Чайка,птица,Баргузинский залив,весна,10.0,5.7900435223,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
300,Большой баклан,птица,Малое Море,весна,587.0,-1.7109562832,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
301,Голомянка,рыба,Селенгинский район,зима,351.0,-16.1426298152,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
302,Эпишура,планктон,Малое Море,осень,5722.0,-13.3300082159,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
303,Омуль,рыба,Малое Море,лето,43.0,19.8576760582,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
304,Эпишура,планктон,Селенгинский район,зима,2491.0,-12.9997227783,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
305,Чайка,птица,Селенгинский район,зима,1.0,-11.9678639255,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
306,Большой баклан,птица,Баргузинский залив,лето,907.0,16.9429427814,хищник,загрязнение,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
307,Омуль,рыба,Ольхон,лето,127.0,11.8605003281,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
308,Омуль,рыба,Малое Море,зима,46.0,-24.5345733637,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
309,Чайка,птица,Селенгинский район,весна,22.0,7.2931321547,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
310,Омуль,рыба,Малое Море,осень,247.0,-3.1100803879,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
311,Эпишура,планктон,Баргузинский залив,осень,9828.0,-7.0840537188,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
312,Эпишура,планктон,Малое Море,зима,1405.0,-16.5749056174,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
313,Голомянка,рыба,Селенгинский район,зима,354.0,-18.6865221629,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
314,Большой баклан,птица,Селенгинский район,весна,852.0,3.0333199138,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
315,Голомянка,рыба,Чивыркуйский залив,весна,263.0,-0.3241353389,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
316,Чайка,птица,Ольхон,зима,1.0,-14.5415028934,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
317,Омуль,рыба,Малое Море,лето,43.0,18.5342326951,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
318,Чайка,птица,Малое Море,осень,2.0,-9.1332896713,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
319,Чайка,птица,Ольхон,лето,24.0,13.2943288057,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
320,Чайка,птица,Малое Море,лето,22.0,14.3681558657,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
321,Эпишура,планктон,Ольхон,зима,4080.0,-10.5691232796,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
322,Голомянка,рыба,Баргузинский залив,весна,272.0,-2.6933277291,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
323,Омуль,рыба,Селенгинский район,зима,52.0,-19.2835022561,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
324,Омуль,рыба,Малое Море,осень,116.0,4.6041756888,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
325,Эпишура,планктон,Баргузинский залив,осень,4271.0,-2.4240087033,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
326,Чайка,птица,Баргузинский залив,весна,12.0,9.0244749128,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
327,Омуль,рыба,Ольхон,лето,156.0,18.9446876048,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
328,Голомянка,рыба,Малое Море,весна,269.0,0.2681755555,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
329,Эпишура,планктон,Чивыркуйский залив,весна,6691.0,2.895504679,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
330,Омуль,рыба,Селенгинский район,осень,424.0,-13.2590831435,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
331,Эпишура,планктон,Чивыркуйский залив,лето,5103.0,16.9573052803,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
332,Чайка,птица,Селенгинский район,лето,20.0,17.0720087295,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
333,Чайка,птица,Чивыркуйский залив,лето,17.0,13.5919929564,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
334,Омуль,рыба,Селенгинский район,осень,380.0,-8.4095134912,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
335,Чайка,птица,Ольхон,лето,23.0,19.1507840182,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
336,Эпишура,планктон,Баргузинский залив,лето,9923.0,14.2670490081,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
337,Большой баклан,птица,Ольхон,осень,708.0,4.6111831441,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
338,Голомянка,рыба,Баргузинский залив,осень,312.0,-14.0001361507,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
339,Чайка,птица,Селенгинский район,весна,4.0,-1.7186566685,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
340,Чайка,птица,Ольхон,осень,12.0,9.5177643304,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
341,Чайка,птица,Селенгинский район,лето,27.0,13.875760004,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
342,Нерпа,млекопитающее,Баргузинский залив,осень,2.0,3.0948348041,хищник,загрязнение,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
343,Большой баклан,птица,Баргузинский залив,зима,72.0,-21.8521629927,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
344,Чайка,птица,Селенгинский район,зима,1.0,-18.7521152674,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
345,Чайка,птица,Ольхон,осень,22.0,12.8291315416,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
346,Омуль,рыба,Малое Море,зима,101.0,-16.5032237545,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
347,Омуль,рыба,Чивыркуйский залив,зима,72.0,-11.4710281136,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
348,Нерпа,млекопитающее,Баргузинский залив,весна,1.0,8.0403859898,хищник,загрязнение,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
349,Эпишура,планктон,Баргузинский залив,весна,7588.0,8.8829560085,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
350,Большой баклан,птица,Чивыркуйский залив,осень,237.0,11.8617498024,хищник,загрязнение,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
351,Чайка,птица,Ольхон,лето,15.0,10.0328112901,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
352,Большой баклан,птица,Малое Море,весна,644.0,8.6802978316,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
353,Чайка,птица,Баргузинский залив,лето,12.0,11.3745943909,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
354,Эпишура,планктон,Малое Море,зима,3064.0,-24.4011062333,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
355,Нерпа,млекопитающее,Баргузинский залив,осень,2.0,-13.3383439627,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
356,Эпишура,планктон,Ольхон,лето,12252.0,13.4891619518,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
357,Омуль,рыба,Ольхон,зима,44.0,-15.687938721,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
358,Голомянка,рыба,Чивыркуйский залив,весна,286.0,-1.9537760696,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
359,Эпишура,планктон,Чивыркуйский залив,осень,8408.0,-14.2333714605,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
360,Чайка,птица,Чивыркуйский залив,весна,8.0,-0.4703473165,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
361,Омуль,рыба,Малое Море,осень,217.0,-1.7360777319,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
362,Голомянка,рыба,Ольхон,осень,208.0,7.705477965,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
363,Чайка,птица,Малое Море,лето,17.0,12.7961289843,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
364,Омуль,рыба,Селенгинский район,зима,118.0,-21.7370323931,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
365,Чайка,птица,Селенгинский район,лето,27.0,12.5593895768,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
366,Голомянка,рыба,Ольхон,весна,297.0,-3.9252035474,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
367,Чайка,птица,Баргузинский залив,зима,1.0,-16.0125268995,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
368,Омуль,рыба,Малое Море,зима,85.0,-17.9271177182,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
369,Нерпа,млекопитающее,Баргузинский залив,зима,1.0,-19.9465815223,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
370,Чайка,птица,Чивыркуйский залив,весна,4.0,-2.5137168343,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
371,Голомянка,рыба,Селенгинский район,осень,292.0,-3.8722901952,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
372,Чайка,птица,Малое Море,осень,20.0,14.1722008413,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
373,Омуль,рыба,Малое Море,зима,90.0,-21.5050451792,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
374,Голомянка,рыба,Селенгинский район,весна,227.0,6.3612312054,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
375,Омуль,рыба,Малое Море,лето,194.0,17.0821083759,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
376,Эпишура,планктон,Малое Море,лето,2408.0,10.055700056,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
377,Омуль,рыба,Чивыркуйский залив,осень,5.0,14.7952865438,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
378,Эпишура,планктон,Малое Море,весна,7271.0,5.1287874127,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
379,Омуль,рыба,Баргузинский залив,лето,94.0,16.8244958635,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
380,Чайка,птица,Ольхон,осень,2.0,-2.8402587697,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
381,Чайка,птица,Чивыркуйский залив,весна,0.0,1.1040617783,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
382,Чайка,птица,Селенгинский район,зима,1.0,-21.200936565,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
383,Омуль,рыба,Баргузинский залив,лето,56.0,10.3548340515,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
384,Большой баклан,птица,Чивыркуйский залив,осень,402.0,10.0806497534,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
385,Голомянка,рыба,Баргузинский залив,осень,201.0,11.8945348104,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
386,Чайка,птица,Селенгинский район,весна,1.0,-6.7505872677,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
387,Омуль,рыба,Малое Море,весна,81.0,5.7411219169,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
388,Нерпа,млекопитающее,Малое Море,весна,4.0,4.8230534657,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
389,Чайка,птица,Ольхон,зима,1.0,-22.324374971,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
390,Эпишура,планктон,Малое Море,осень,4978.0,-2.3451359228,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
391,Нерпа,млекопитающее,Селенгинский район,весна,1.0,-1.5448415833,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
392,Эпишура,планктон,Чивыркуйский залив,лето,2639.0,17.5996425831,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
393,Чайка,птица,Баргузинский залив,лето,30.0,18.3766090578,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
394,Чайка,птица,Баргузинский залив,зима,1.0,-23.5783731791,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
395,Голомянка,рыба,Малое Море,зима,359.0,-16.5554614764,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
396,Чайка,птица,Ольхон,осень,19.0,7.8524549079,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
397,Эпишура,планктон,Баргузинский залив,зима,3306.0,-13.207141089,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
398,Омуль,рыба,Ольхон,лето,198.0,11.4799352443,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
399,Омуль,рыба,Малое Море,весна,155.0,0.510102863,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
400,Голомянка,рыба,Ольхон,зима,333.0,-12.1366194046,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
401,Эпишура,планктон,Малое Море,зима,2649.0,-20.2222213512,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
402,Омуль,рыба,Чивыркуйский залив,Лето,41.0,14.2511689891,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
403,Голомянка,рыба,Селенгинский район,зима,333.0,-12.93462233,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
404,Эпишура,планктон,Баргузинский залив,лето,11681.0,10.8931952118,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
405,Чайка,птица,Ольхон,лето,,18.5949328989,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
406,Голомянка,рыба,Малое Море,весна,280.0,-3.7768656654,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
407,Омуль,рыба,Баргузинский залив,весна,137.0,-9.9709936682,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
408,Омуль,рыба,Ольхон,весна,31.0,-5.3168170989,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
409,Чайка,птица,Малое Море,весна,1.0,-8.2099871821,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
410,Омуль,рыба,Малое Море,весна,93.0,-8.1523018601,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
411,Чайка,птица,Баргузинский залив,зима,1.0,-14.6074639879,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
412,Чайка,птица,Селенгинский район,лето,24.0,12.1397633564,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
413,Омуль,рыба,Ольхон,осень,113.0,13.0422708893,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
414,Чайка,птица,Баргузинский залив,весна,14.0,0.3288909318,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
415,Нерпа,млекопитающее,Чивыркуйский залив,осень,1.0,-1.1970522614,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
416,Чайка,птица,Малое Море,лето,20.0,14.3428351822,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
417,Нерпа,млекопитающее,Селенгинский район,лето,5.0,16.9258763967,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
418,Эпишура,планктон,Селенгинский район,лето,2503.0,14.5226276252,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
419,Голомянка,рыба,Селенгинский район,весна,308.0,-7.4279928755,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
420,Голомянка,рыба,Ольхон,зима,328.0,-11.7974172904,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
421,Омуль,рыба,Ольхон,осень,181.0,-2.1481395322,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
422,Чайка,птица,Чивыркуйский залив,лето,24.0,,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
423,Голомянка,рыба,Селенгинский район,осень,267.0,0.8809796249,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
424,Чайка,птица,Селенгинский район,зима,1.0,-15.2897971232,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
425,Чайка,птица,Ольхон,весна,6.0,-4.4883507168,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
426,Эпишура,планктон,Баргузинский залив,лето,8067.0,18.0034040767,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
427,Чайка,птица,Селенгинский район,зима,1.0,-14.9533623094,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
428,Эпишура,планктон,Чивыркуйский залив,осень,1627.0,4.5102350779,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
429,Голомянка,рыба,Баргузинский залив,весна,281.0,-1.5835009426,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
430,Чайка,птица,Селенгинский район,осень,19.0,13.8574590423,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
431,Чайка,птица,Селенгинский район,осень,1.0,-6.7743249615,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
432,Голомянка,рыба,Малое Море,осень,260.0,2.3311650305,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
433,Чайка,птица,Баргузинский залив,весна,2.0,-3.8188968505,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
434,Чайка,птица,Селенгинский район,лето,22.0,17.4480475297,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
435,Чайка,птица,Малое Море,весна,1.0,-9.0441703226,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
436,Чайка,птица,Баргузинский залив,весна,5.0,-9.0821226425,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
437,Большой баклан,птица,Ольхон,осень,234.0,9.3258290856,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
438,Чайка,птица,Малое Море,лето,28.0,14.3426816106,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
439,Большой баклан,птица,Селенгинский район,весна,957.0,-3.176398908,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
440,Эпишура,планктон,Ольхон,осень,2671.0,3.2258058653,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
441,Чайка,птица,Малое Море,весна,9.0,4.0379868774,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
442,Чайка,птица,Ольхон,осень,1.0,-8.9639595947,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
443,Чайка,птица,Малое Море,весна,8.0,-6.2913751719,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
444,Голомянка,рыба,Селенгинский район,зима,323.0,-10.6277387836,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
445,Голомянка,рыба,Чивыркуйский залив,осень,244.0,2.6899291915,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
446,Большой баклан,птица,Чивыркуйский залив,осень,926.0,-3.2965056812,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
447,Чайка,птица,Чивыркуйский залив,весна,14.0,6.0288338934,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
448,Эпишура,планктон,Баргузинский залив,осень,1544.0,0.7547687633,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
449,Чайка,птица,Малое Море,зима,1.0,-21.3750578444,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
450,Чайка,птица,Чивыркуйский залив,весна,7.0,-5.8652938872,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
451,Нерпа,млекопитающее,Ольхон,весна,6.0,-2.0628146766,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
452,Большой баклан,птица,Малое Море,зима,68.0,-12.1015620961,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
453,Чайка,птица,Чивыркуйский залив,лето,13.0,10.6144791604,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
454,Чайка,птица,Чивыркуйский залив,весна,1.0,-5.6294799849,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
455,Омуль,рыба,Малое Море,зима,50.0,-11.6027227172,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
456,Голомянка,рыба,Селенгинский район,зима,387.0,-23.1739814655,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
457,Чайка,птица,Селенгинский район,осень,10.0,3.8887715479,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
458,Эпишура,планктон,Селенгинский район,весна,2514.0,-5.7297726376,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
459,Голомянка,рыба,Баргузинский залив,весна,275.0,2.1173369502,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
460,Байкальский осетр,рыба,Малое Море,зима,1.0,-19.2534374973,бентофаг,рыболовство,"Занесен в Красную книгу, встречается крайне редко"
461,Чайка,птица,Малое Море,зима,1.0,-23.4748465535,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
462,Омуль,рыба,Чивыркуйский залив,весна,178.0,1.6495013511,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
463,Чайка,птица,Малое Море,осень,6.0,5.4912824125,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
464,Голомянка,рыба,Ольхон,зима,339.0,-14.7959107155,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
465,Большой баклан,птица,Селенгинский район,весна,479.0,2.7406881815,хищник,загрязнение,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
466,Чайка,птица,Баргузинский залив,весна,12.0,0.0044956187,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
467,Омуль,рыба,Баргузинский залив,лето,173.0,15.1947261686,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
468,Омуль,рыба,Чивыркуйский залив,весна,68.0,2.7128021962,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
469,Голомянка,рыба,Чивыркуйский залив,зима,323.0,-14.6461095738,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
470,Чайка,птица,Селенгинский район,осень,13.0,4.6463021649,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
471,Эпишура,планктон,Селенгинский район,весна,6945.0,1.7389112983,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
472,Чайка,птица,Баргузинский залив,осень,1.0,-10.3248304559,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
473,Чайка,птица,Чивыркуйский залив,весна,8.0,-5.7876692301,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
474,Голомянка,рыба,Селенгинский район,осень,295.0,-7.1932793689,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
475,Нерпа,млекопитающее,Селенгинский район,осень,5.0,12.5898497126,хищник,загрязнение,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
476,Чайка,птица,Ольхон,зима,1.0,-13.609073623,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
477,Омуль,рыба,Малое Море,лето,165.0,15.5286681954,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
478,Нерпа,млекопитающее,Малое Море,Осень,1.0,-7.4382921437,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
479,Омуль,рыба,Баргузинский залив,лето,87.0,11.1089152324,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
